 District ADDRESS  VALUE   1   2   3   4    5    6    7    8    9
   1    1   66957   7   0   5  15  111   12   43    0   37
   1    2   66041   3   3   3  15  106   11   31   15   33
   1    3   58603   3   0   2  10   64    9   13    0   26
   1    4   61343   1   0   3   5   55    2   21    0    8
   1    5   76789   5   0   2  15  119   13   27    0   35
   1    6   79909   2   2   3  10   50    7   23    5   11
   1    7   40278   1   0   1   0   19    2    5    0   12
   1    8   66059   3   0   2  15   94   10   48    0   34
   1    9   94482   4   7   4  25  166   18   48   22   42
   1   10   55117   3   1   2  10  109   13   24    8   34
   1   11   59406   2   0   1  15   91   10   42    0   21
   1   12   82630   3   0   1  20  117    6   45    0   19
   1   13   90972   2   2   2  20  144    6   28    8   26
   1   14   35024   1   0   1   0   41    5    8    0   18
   1   15   89599   5   1   2  25   74   12   11   12   33
   1   16   47805   2   0   2   5   65    7   39    0   14
   1   17   57465   2   1   3   5   76    7   26   10   22
   1   18   65566   6   0   3  15   79   11   23    0   28
   1   19   52022   2   0   1  10  113    6   44    0   28
   1   20   33722   1   0   0   0    0    0    0    0    0
   1   21   93357   3   1   3  25  112   11   48   16   33
   1   22   62212   1   0   1  15   41    7    7    0   26
   1   23   50364   2   2   2  10  112   12   27   11   30
   1   24   92471   3   4   1  25  124    9   35   10   29
   1   25   66203   3   2   1  20  116   14   38   17   35
   1   26   56239   2   0   2  10   63    8   31    0   22
   1   27   50895   3   0   1   5   35    6    2    0   21
   1   28   63364   1   0   3  10   63    6   12    0   16
   1   29   46711   2   0   2  10   99    8   31    0   21
   1   30   84938   2   4   2  15  143   10   30   20   26
   1   31   69609   2   2   1  15   93   11   35   16   24
   1   32   57319   2   0   1   5   47    4   15    0   10
   1   33   74915   2   1   1  15  109   15   23   13   21
   1   34   43446   1   0   1   5   27    2    0    0   19
   1   35   67447   4   0   2  10  140    9   44    0   21
   1   36   56107   2   0   2  10   40    8   13    0   18
   1   37   94712   4   0   4  20  102    7   41    0   25
   1   38   74717   2   1   1  10   69    6   28   14   18
   1   39   74938   3   2   2  25  144   14   41   11   35
   1   40   54451   2   0   1   5   39    4   14    0   14
   1   41   60046   2   0   1  10   50    7    7    0   23
   1   42   83494   2   4   4  20  167   16   37   15   32
   1   43   71207   5   0   1  15  108   10   38    0   33
   1   44   71217   2   0   2  15   43    7   12    0   23
   1   45   43592   1   0   1  10  106    8   28    0   26
   1   46   57114   3   1   3  10   95   11   19   12   25
   1   47   82014   7   0   3  20  151    8   32    0   30
   1   48   57029   2   2   2   5  129    6   48   16   15
   1   49   86607   5   3   3  25  150   15   32   21   37
   1   50   72362   3   4   2  20  140   12   30   10   32
   1   51   59573   2   1   2  15  103   11   43   10   29
   1   52   36134   1   0   0   0    0    0    0    0    0
   1   53   55698   2   2   1  10   94   12   35   10   24
   1   54   89124   2   3   2  25  136    8   29    9   22
   1   55   63533   3   0   0   0    0    0    0    0    0
   1   56   76892   3   3   2  15  107   13   45   14   31
   1   57   75931   4   0   4  20  145   12   42    0   29
   1   58   38658   1   0   3   5   47    7   13    0   18
   1   59   65883   2   2   2  15   69   12   17   15   24
   1   60   80397   6   0   4  20  115   12   27    0   37
   1   61   64412   3   1   2  15  141    8   40    3   22
   1   62   65368   3   1   1  15  118   10   31   10   28
