RN,state,holes,type,yearblt,wkday18,wkday9,wkend18,wkend9,backtee,rating,par,cart18,cart9,caddy,pro
5491,RI,18,priv,1923,25,25,35,25,6453,71.8,69,15,7.5,y,y
10276,VT,18,semi,1972,40,24,45,24,6549,71.1,72,30,18,n,y
6025,MN,9,pub,1939,,10,,10,3058,69.2,35,16.5,11,n,n
9739,GA,18,semi,1991,37,37,45,37,6766,72.2,72,0,0,n,y
3463,CA,18,pub,1970,17,10,20,10,6706,71.4,72,22,15,n,y
5883,MN,18,pub,1996,16,12,18,12,7002,73.5,72,10,7,n,y
7493,FL,9,pub,1970,,8,,8,3966,,31,10.5,5.25,n,n
7246,TN,18,priv,1917,40,40,40,40,6589,71.9,70,14,7,n,y
1189,OH,9,priv,1921,,5,,5,1790,,30,,,n,n
7500,FL,18,pub,1989,32,23.5,32,23.5,7005,73.1,72,0,0,n,n
9721,GA,18,priv,1973,40,40,50,40,6767,72.4,72,11.5,6.5,n,y
137,AL,18,priv,1965,12,12,12,12,6326,,72,12,12,n,n
1192,OH,18,resort,1939,35,35,35,35,5985,67.3,70,20,10,n,y
11138,IL,9,priv,1922,,12,,12,2927,67.4,36,14,9,n,n
6108,MN,9,pub,,,10,,10,3162,,36,13.4,7.8,n,n
6609,MS,18,pub,1994,28,20,32,20,6355,69.7,70,18,10,n,y
7268,TN,9,pub,1906,,5,,5,2222,,34,10,5,n,y
5255,MI,18,pub,1958,22,15,27,15,6494,71.6,72,11,7,n,n
7577,FL,18,pub,,12.5,9,12.5,9,6107,69.6,72,7.5,6,n,n
7381,FL,18,pub,1958,20,20,20,20,2971,,58,10,10,n,y
10559,VA,9,priv,1925,,10,,10,3015,70.4,36,8,5,n,y
2566,CA,18,priv,1965,35,18,40,18,6537,71.2,72,20,12,n,y
4474,CT,18,priv,1899,30,20,40,20,6301,71,69,13.5,9.25,y,y
8028,FL,18,pub,1993,20.5,10.25,20.5,10.25,6956,73.3,71,12,6,n,y
5074,MI,18,semi,1901,35,18,35,18,5614,67.9,70,0,0,n,y
11396,IL,9,pub,1988,,7,,7,1078,,27,,,n,y
2265,MD,18,pub,1956,10,10,12,10,6061,67.3,70,19,11,n,y
5627,CO,9,pub,1986,,8,,8,2846,67.6,36,15,10,n,n
1087,OH,18,pub,1971,16,10,20,10,6982,71.5,72,10,5,n,n
5532,CO,9,pub,1963,,9,,9,3094,68.3,36,16,8,n,y
7002,MO,18,semi,1978,12,10,14,10,5876,66.1,72,16,10,n,n
8735,TX,18,priv,1986,30,30,35,30,6261,69.9,71,0,0,n,y
1435,OH,18,priv,1991,75,75,75,75,6933,73.5,72,13.5,6.25,y,y
933,OH,9,pub,1928,,6,,6,2866,,35,12,6,n,n
8334,FL,18,priv,1996,50,50,50,50,6710,71.8,72,13,8,n,y
5748,MN,18,pub,,21,11.5,21,11.5,6539,71.8,71,20,12,y,y
3363,CA,18,semi,1995,40,40,40,40,6485,70.8,72,0,0,n,y
11072,IL,9,priv,1922,,6,,6,2366,62.5,32,7,3.5,n,y
14182,KS,9,priv,1955,,15,,15,3399,73.2,36,14,8,n,n
4891,MI,9,pub,1993,,6,,6,2351,,33,9,6,n,n
1949,OK,18,pub,1956,8.5,8.5,10,8.5,7112,72.9,72,16,8,n,y
14619,NC,9,pub,1966,,3.25,,3.25,683,,27,,,n,n
11495,NJ,9,pub,1969,,14,,14,2935,67.4,36,11,9,n,y
8646,TX,18,priv,1972,101,101,101,101,7113,72.5,72,0,0,n,y
5036,MI,18,pub,1995,38,22.5,44,22.5,7028,,72,0,0,n,y
6971,MO,18,pub,1995,14.5,9.5,17.5,9.5,7072,73.5,72,9.5,5.5,n,y
6662,MS,9,mili,1975,,8,,8,3177,,36,7,4,n,y
11995,IN,18,priv,1910,50,30,60,30,6670,72.5,72,12.5,6.25,y,y
11378,IL,9,semi,1964,,7,,7,3107,68.5,35,8,4,n,y
3754,MA,18,pub,1963,30,15,33,15,6335,,72,22,12,n,y
3368,CA,18,priv,1962,25,15,25,15,6801,71.8,72,10,5,n,y
13890,WI,18,pub,1970,18.15,9.6,19.25,9.6,7010,73,72,24,12,n,y
3651,MA,18,priv,1930,50,50,75,50,6828,73.2,72,12.5,6.25,y,y
10720,VA,18,semi,1992,30,30,30,30,6728,72.6,72,12,12,n,y
6976,MO,18,pub,1991,28,20,38,30,6348,69.9,71,0,0,n,n
5142,MI,18,pub,1967,15,8.5,18,8.5,5714,67.3,70,18,9,n,y
4271,PA,9,pub,1960,,3,,3,1110,,27,8,4,n,y
785,OH,18,pub,1973,16,16,16,16,6819,72.2,72,18,9,n,y
2618,CA,9,pub,1920,,12,,12,2016,,32,2,2,n,n
9429,GA,18,priv,1971,40,40,50,40,6561,72,72,10,6.75,n,y
8785,TX,18,priv,1965,12,12,15,12,6385,69.8,71,10,7.5,n,y
1108,OH,18,pub,1928,14.5,8,17,8,6245,69.1,70,18,9,n,n
7252,TN,18,pub,1990,18,10,23,10,5850,,71,0,0,n,y
5604,CO,9,pub,1950,,12,,12,3281,69.9,35,15,10,n,n
10124,HI,18,pub,1992,75,40,75,40,6469,70.6,72,0,0,n,y
10256,VT,18,semi,1927,27,15,27,15,6052,69.4,70,21,12,n,y
3262,CA,18,priv,1915,35,35,35,35,6716,73,71,,,y,y
10658,VA,18,priv,1961,25,25,35,25,6281,70.7,70,20,12,n,y
626,LA,9,priv,,,10.8,,10.8,3051,,35,14,7,n,y
11289,IL,18,semi,1971,19,9.75,26,9.75,6423,,72,24.5,13,n,y
1169,OH,18,priv,1992,60,30,60,30,7176,70.1,72,13.5,6.75,y,y
11559,NJ,18,priv,1968,60,30,60,30,6774,72.3,71,15,11,n,y
8638,TX,18,pub,1969,18,18,32,18,5295,64.2,66,0,0,n,y
2825,CA,11,pub,1924,,14,,14,3016,67.8,34,22,12,n,y
10113,HI,18,mili,1948,40,20,40,20,6771,72.2,72,20,10,n,y
815,OH,18,pub,,13,7.5,14,7.5,6356,69.8,71,17,18.5,n,y
4742,MI,18,pub,1922,23,13,23,13,6003,69.3,70,12,7,n,y
578,AK,18,pub,1987,38,27,38,27,6616,72.1,72,24,16,n,y
7969,FL,18,priv,1964,75,75,75,75,6987,72.9,72,32,16,n,y
3362,CA,18,semi,1992,75,75,75,75,6270,73,72,0,0,n,y
12895,IA,9,pub,1985,,12,,12,3083,69,36,16,9,n,n
11630,NJ,18,pub,1962,28,28,35,28,6624,71.1,72,15.5,13.5,n,y
12929,IA,9,semi,1973,,9,,9,3047,,36,,,n,y
13569,NY,9,resort,,,9.5,,9.5,3085,,36,19,11,n,y
8902,TX,9,semi,1935,,7.5,,7.5,2904,70,36,16,8,n,n
1609,AZ,18,priv,1970,25,16,25,16,6251,68.6,72,15,9,n,y
13123,NY,9,pub,,,7,,7,1853,,31,14,10,n,n
14602,NC,18,priv,1981,55.7,22.5,55.7,22.5,6509,71.2,72,0,0,n,y
14731,NC,18,resort,1961,100,100,100,100,6827,73.4,72,19,19,y,y
8588,MT,18,priv,,35,20,35,20,6262,68.7,70,18,11,n,y
9706,GA,18,priv,1989,35,35,50,35,6558,72.5,72,11,6,n,y
12774,IA,18,priv,1915,25,25,25,25,6199,69.5,72,18,10,n,y
8545,MT,18,pub,,16,11,16,11,6525,69.6,72,15,9,n,y
13532,NY,18,priv,1924,40,20,50,20,6257,70.3,72,15,9,y,y
1219,OH,18,pub,1961,14,9,17,9,6097,68.5,72,18,9,n,y
11267,IL,18,pub,1964,12.5,7,15,7,5718,65.9,71,9.5,5,n,y
6084,MN,9,semi,,,12,,12,3118,,36,18,10,n,n
263,KY,18,priv,1968,20,20,25,20,6292,67.9,72,17,8.5,n,n
5204,MI,18,pub,1969,16,9.5,17,9.5,5542,67.3,70,19,10,n,y
5152,MI,18,priv,1960,17,9.5,17,9.5,6072,70,73,9.5,5.75,n,y
11558,NJ,18,priv,1968,60,30,60,30,6579,71.6,71,15,11,n,y
8229,FL,18,semi,1981,16,10,16,10,4280,61,65,0,0,n,y
12592,IA ,18,priv,1974,50,50,50,50,6515,72.1,71,18,10,n,y
7071,MO,9,priv,1965,,8,,8,2953,66,36,18,9,n,n
11606,NJ,9,priv,1964,,10,,10,3011,69.2,36,13,6.5,n,y
14488,NC,18,semi,1996,30,18,36,18,6849,71.3,72,0,0,n,y
5007,MI,9,semi,1932,,12,,12,3198,70.2,36,18,12,n,n
11008,IL,18,pub,1992,18,12,24,12,6506,70.9,72,24,14,n,y
13897,WI,18,semi,1944,19.5,11.5,23,11.5,6431,70,71,21,10.5,n,n
8413,FL,18,priv,1923,25,25,30,25,6592,71.2,72,15,7.5,y,y
2006,OK,18,semi,1984,10,10,12,10,6154,70,71,17.2,8.6,n,y
1079,OH,18,pub,1960,13,9,14,9,5485,66.1,70,18,9,n,n
1307,OH,18,priv,1904,40,40,40,40,6279,70.1,72,25,12.5,y,y
4140,PA,18,pub,1991,11,7,18,7,6238,69.7,72,18,10,n,n
13474,NY,9,pub,1995,,10,,10,2662,,35,20,10,n,n
9413,GA,18,priv,1899,50,50,50,50,6737,72.6,72,10.5,5.25,n,y
3131,CA,18,pub,1928,40,40,55,40,6234,72.1,72,26,26,n,y
9896,NE,9,pub,,,5.25,,5.25,1337,,27,,,n,y
12979,NY,18,pub,1935,14,8,17,8,6595,72.1,72,20,12,n,y
